location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,17808,17808,Blue Mountain Dr After Moondarra Wy,,-31.73043669,115.7578811,4,Bus
0,,17809,17809,Blue Mountain Dr After Moore Dr,,-31.7308411,115.7577928,4,Bus
0,,17810,17810,Blue Mountain Dr After Moondarra Wy,,-31.72767418,115.7568058,4,Bus
0,,17811,17811,Blue Mountain Dr Before Manyarra Turn,Blue Mountain Dr / Manyarra Turn,-31.72592292,115.7547797,4,Bus
0,,17813,17813,Blue Mountain Dr After Quesnel Pl,Blue Mountain Dr / Candlewood Bvd,-31.72167833,115.7626628,4,Bus
0,,17814,17814,Candlewood Bvd After Blue Mountain Dr,Candlewood Bvd / Blue Mountain Dr,-31.72310628,115.7623908,4,Bus
0,,17815,17815,Candlewood Bvd After Jessup Pass,,-31.72446107,115.7644073,4,Bus
0,,17816,17816,Candlewood Bvd After Brienz Dr,,-31.72681611,115.7665683,4,Bus
0,,17817,17817,Candlewood Bvd Before Moondarra Wy,,-31.7292619,115.7646877,4,Bus
0,,17818,17818,Candlewood Bvd After Silkeborg Cr,,-31.73107215,115.7634998,4,Bus
0,,17819,17819,Candlewood Bvd After Moore Dr,,-31.73121677,115.7632051,4,Bus
0,,17820,17820,Candlewood Bvd Candlewood Shopping Centre,,-31.72914318,115.7646617,4,Bus
0,,17821,17821,Candlewood Bvd Before Brienz Dr,,-31.72650856,115.7664206,4,Bus
0,,17822,17822,Candlewood Bvd After Erie Wy,,-31.72449152,115.7642569,4,Bus
0,,17823,17823,Yellowstone Wy After Blue Mountain Dr,,-31.72308549,115.7555089,4,Bus
0,,17824,17824,Yellowstone Wy Before Bluemountain,,-31.72316529,115.7557093,4,Bus
0,,17825,17825,Grand Bvd After Kendrew Cr,,-31.74874446,115.769783,3,Bus;School Bus
0,,17826,17826,Grand Bvd After Collier Pass,,-31.74486175,115.7697077,3,Bus
0,,17827,17827,Grand Bvd After Boas Av,,-31.74250762,115.7698744,3,Bus
0,,17828,17828,Grand Bvd After Kyle Ct,,-31.73867447,115.7699261,3,Bus
0,,17829,17829,Grand Bvd After Pimlico Pl,,-31.73647891,115.7694431,3,Bus
0,,17830,17830,Grand Bvd After Piccadilly Cir,,-31.73522263,115.7677336,3,Bus
0,,17831,17831,Grand Bvd After Piccadilly Cir,,-31.73503902,115.7679074,3,Bus
0,,17832,17832,Grand Bvd After Plaistow St,,-31.73647942,115.7697411,3,Bus
0,,17833,17833,Grand Bvd After Regents Park Rd,,-31.73874942,115.770165,3,Bus
0,,17834,17834,Grand Bvd After Reid Prom,,-31.74237086,115.7701176,3,Bus
0,,17835,17835,Grand Bvd After Boas Av,,-31.74502539,115.7702482,3,Bus
0,,17836,17836,Grand Bvd After Kendrew Cr,,-31.75001011,115.769692,3,Bus;School Bus
0,,17837,17837,Lakeside Dr Before Chancellor Pass,,-31.75198786,115.777655,3,Bus
0,,17838,17838,Lakeside Dr Before Joondalup Dr,,-31.75530959,115.7764733,3,Bus
0,,17839,17839,Lakeside Dr After Deakin Gte,,-31.75533734,115.7762868,3,Bus
0,,17840,17840,Lakeside Dr After Chancellor Pass,,-31.75176981,115.7774591,3,Bus
0,,17841,17841,Lakeside Dr Police Academy,,-31.74900755,115.7755889,3,Bus
0,,17842,17842,Lakeside Dr After Shoveler Tce,,-31.74488639,115.7739105,3,Bus
0,,17843,17843,Lakeside Dr After Boas Av,,-31.74498009,115.7740866,3,Bus
0,,17844,17844,Lakeside Dr Before Kendrew Cr,,-31.74757567,115.7746172,3,Bus
0,90,17845,17845,Joondalup Stn Stand 1,Joondalup Stn,-31.74591407,115.7676456,3,Bus;School Bus
0,90,17846,17846,Joondalup Stn Stand 2,Joondalup Stn,-31.74578733,115.7676456,3,Bus
0,90,17847,17847,Joondalup Stn Stand 3,Joondalup Stn,-31.74556944,115.7676417,3,Bus
0,90,17848,17848,Joondalup Stn Stand 4,Joondalup Stn,-31.74537333,115.7676439,3,Bus
0,90,17849,17849,Joondalup Stn Stand 5,Joondalup Stn,-31.74513833,115.7676461,3,Bus
0,90,17850,17850,Joondalup Stn Stand 6,Joondalup Stn,-31.74509889,115.7672739,3,Bus
0,90,17851,17851,Joondalup Stn Stand 7,Joondalup Stn,-31.74529111,115.7672661,3,Bus
0,90,17852,17852,Joondalup Stn Stand 8,Joondalup Stn,-31.74563333,115.7672617,3,Bus
0,90,17853,17853,Joondalup Stn Stand 9,Joondalup Stn,-31.74579611,115.7672622,3,Bus
0,,17854,17854,Shenton Av After Grand Bvd,,-31.74009229,115.7684136,3,Bus
0,,17855,17855,Shenton Av After Lawley Ct,,-31.73952389,115.7653175,3,Bus
0,,17856,17856,Shenton Av After Pontiac Wy,,-31.73918129,115.7601312,3,Bus
0,,17857,17857,Shenton Av After Mitchell Fwy,,-31.74091111,115.7543286,3,Bus
0,,17858,17858,Shenton Av Before Connolly Dr,,-31.74223747,115.7494654,3,Bus
0,,17859,17859,Shenton Av After Fairway Cir,Shenton Av / Delamere Av,-31.74273437,115.7431459,4,Bus
0,,17860,17860,Shenton Av After Delamere Av,Marmion Av / Shenton Av,-31.7429546,115.7400639,4,Bus
0,,17861,17861,Shenton Av After Marmion Av,Marmion Av / Shenton Av,-31.7426969,115.7395833,4,Bus
