SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50177,Bremer Bay,Bremer Bay,6338,613.6619,54,1733,692,183,1264,0.7,980,1.8,34,12,45,30,64,92,46,32,7,362,2.6
SSC50178,Brentwood,Brentwood (WA),6153,0.8898,37,2110,667,340,1944,0.8,1415,2.5,388,287,268,286,289,201,153,101,56,2029,8.6
SSC50179,Breton Bay,Breton Bay,6043,190.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
SSC50180,Bridgetown,Bridgetown,6255,35.0028,50,1517,512,260,1218,0.7,931,2.2,471,232,177,292,402,463,463,179,70,2749,6.7
SSC50181,Brigadoon,Brigadoon,6069,19.4732,43,2414,804,355,2387,0.8,2349,3.1,160,117,47,114,142,118,84,19,11,812,4.3
SSC50182,Bringo,Bringo,6532,40.3238,53,0,350,0,949,0.8,949,1.8,6,3,3,9,4,12,4,3,0,44,0
SSC50183,Broadwater,Broadwater (WA),6280,6.0871,49,1777,603,360,1426,0.7,1177,2.4,731,387,381,525,500,578,557,419,334,4412,6.1
SSC50184,Broadwood,Broadwood,6430,10.085,34,2600,1295,313,3347,0.8,3391,3.4,193,108,71,125,139,69,18,0,3,726,3.6
SSC50185,Brockman,Brockman,6701,0.8951,38,1777,751,200,1823,0.8,1618,2.4,236,83,140,149,174,111,97,34,15,1039,6.3
SSC50186,Broke,Broke (WA),6398,498.0572,25,0,537,0,0,0,0,0,0,3,0,0,5,0,0,0,0,8,0
SSC50187,Brookdale,Brookdale (WA),6112,1.2002,28,1517,594,320,1337,0.8,1281,3,857,425,530,403,341,215,126,34,5,2936,12.7
SSC50188,Brookhampton,Brookhampton,6239,54.2943,47,2000,743,150,2075,0.8,1474,2.5,41,24,20,18,56,40,25,10,3,237,3.2
SSC50189,Brookton,Brookton,6306,580.8383,48,1100,602,152,1399,0.7,979,2.3,136,74,77,61,114,93,93,69,38,755,11.7
SSC50190,Broome,Broome,6725,5.8163,36,2167,824,275,1896,1,1465,2.4,852,479,812,705,709,890,611,201,45,5304,7.1
SSC50191,Broomehill East,Broomehill East,6318,536.9955,34,0,949,0,2562,0.8,2124,2.6,28,7,19,19,23,9,4,0,0,109,0
SSC50192,Broomehill Village,Broomehill Village,6318,8.3292,43,884,564,150,1268,0.7,949,2.2,50,25,32,28,32,42,23,11,6,249,8.9
SSC50193,Broomehill West,Broomehill West,6318,627.6202,41,791,780,61,1916,0.8,1625,2.4,30,5,12,15,25,25,16,4,0,132,0
SSC50194,Brown Hill,Brown Hill (WA),6431,11.6892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50195,Brown Range,Brown Range,6701,11.4453,53,1500,601,170,1333,1,1016,1.9,12,13,24,17,38,95,182,46,3,430,4.1
SSC50196,Bruce Rock,Bruce Rock,6418,1107.8771,47,860,705,124,1649,0.7,1138,2.2,143,43,87,78,64,101,106,48,18,688,4.1
SSC50197,Brunswick,Brunswick (WA),6224,98.067,44,1517,558,200,1359,0.8,1210,2.5,206,131,82,131,169,158,134,65,15,1091,7.3
SSC50198,Buckingham,Buckingham (WA),6225,63.7722,50,0,749,0,3750,1,3750,3,4,0,0,5,3,6,3,0,0,21,33.3
SSC50199,Buckland,Buckland (WA),6401,57.0912,54,0,762,0,1437,0.7,1312,1.8,5,5,4,0,7,6,6,3,0,36,0
SSC50200,Bulgarra,Bulgarra,6714,4.6429,32,2210,1182,280,2647,0.9,2367,2.5,559,322,687,599,453,314,90,14,0,3038,5.2
SSC50201,Bull Creek,Bull Creek (WA),6149,4.1624,44,2000,648,425,2062,0.8,1626,2.7,1331,973,762,904,932,941,907,519,360,7629,8.2
SSC50202,Bullabulling,Bullabulling,6429,1216.8929,43,0,1687,0,0,0,1625,1,0,3,0,3,0,0,0,0,0,6,0
SSC50203,Bullaring,Bullaring,6373,559.0948,40,0,828,0,1958,0.8,1854,2.5,25,3,10,18,20,12,4,8,0,100,5.4
SSC50204,Buller,Buller,6532,6.9387,46,2774,659,0,2150,0.9,1416,2.3,25,7,10,16,12,24,43,10,3,150,5.7
SSC50205,Bullfinch,Bullfinch,6484,1191.4963,57,0,293,0,850,0.5,424,1.4,0,0,3,0,8,12,4,4,0,31,47.8
SSC50206,Bullock Hills,Bullock Hills,6317,128.2567,49,0,687,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0
SSC50207,Bullsbrook,Bullsbrook,6084,253.8629,38,2000,730,350,1827,0.8,1714,2.9,1057,745,562,723,808,636,414,138,30,5113,6.5
SSC50208,Bulong,Bulong,6431,1987.6334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50209,Bulyee,Bulyee,6306,414.0399,47,0,850,0,2250,0.9,2124,3.4,4,3,3,3,9,6,3,4,0,35,12.5
SSC50210,Bunbury,Bunbury (WA),6230,4.7884,47,1950,819,305,2084,0.7,1535,2.1,469,376,501,478,587,605,429,212,179,3836,6.7
SSC50211,Bundanoon,Bundanoon (WA),6522,129.1155,29,0,900,0,1874,0,1874,2,0,0,3,0,0,3,0,0,3,9,0
SSC50212,Buniche,Buniche,6353,328.8504,50,0,784,0,3750,0.6,2874,2.5,4,0,0,3,8,8,0,3,0,26,0
SSC50213,Bunjil,Bunjil,6623,1927.7149,34,0,1013,0,2166,0.8,2083,2.9,17,0,19,12,6,17,4,0,0,75,0
SSC50214,Buntine,Buntine,6613,572.1224,48,663,849,0,1437,0.8,1343,2.8,16,0,7,8,3,12,4,3,5,58,0
SSC50215,Burakin,Burakin,6467,342.5448,50,0,875,0,1624,0.7,1562,1.9,4,0,4,0,6,3,4,0,0,21,0
SSC50216,Buraminya,Buraminya,6452,13598.3088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50217,Burekup,Burekup,6227,40.4442,35,2000,725,295,1881,0.8,1732,2.9,224,72,88,102,112,84,54,21,6,763,7.3
SSC50218,Burges,Burges,6302,40.8292,69,0,450,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0
SSC50219,Burlong,Burlong,6401,42.0951,33,1194,630,0,1062,0.6,780,1.9,4,55,201,113,64,18,20,3,3,481,0
SSC50220,Burma Road,Burma Road,6532,206.8728,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,6,0
SSC50221,Burns Beach,Burns Beach,6028,3.3134,37,2817,994,630,3034,0.8,3008,3.3,789,464,300,584,637,354,117,23,3,3271,6.2
SSC50222,Burnside,Burnside (WA),6285,28.381,40,1900,774,300,1800,0.9,1656,3,72,15,24,54,48,25,23,4,3,268,3
SSC50223,Burracoppin,Burracoppin,6421,313.1106,45,1257,617,0,1375,0.8,1125,2.5,26,4,9,11,12,18,18,4,0,102,0
SSC50224,Burran Rock,Burran Rock,6490,169.432,29,0,474,0,0,1.2,1874,0,3,7,3,3,3,0,0,3,0,22,0
SSC50225,Burrup,Burrup,6714,114.4049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0
SSC50226,Burswood,Burswood,6100,3.4126,36,2212,976,475,2272,0.8,1978,2.1,178,336,666,457,439,405,198,85,13,2777,7.6
SSC50227,Busselton,Busselton,6280,4.458,51,1733,526,310,1196,0.7,837,1.9,229,180,191,185,227,269,279,209,82,1851,8
SSC50228,Butler,Butler (WA),6036,5.3277,29,2017,728,360,1781,0.8,1616,2.9,3616,2007,2195,2099,1602,715,543,194,38,13009,9.5
SSC50229,Byford,Byford,6122,19.5816,29,2091,834,395,1931,0.8,1846,3,4103,1902,3192,2055,1423,995,553,241,84,14548,7.1
SSC50230,Cable Beach,Cable Beach,6726,9.1153,34,2500,980,320,2210,0.9,1944,2.6,1449,633,1070,1041,1203,1363,1382,365,33,8539,4.1
SSC50231,Cadoux,Cadoux,6466,449.0598,53,0,589,0,1156,0.6,1031,1.9,8,3,8,3,12,17,9,0,0,60,9.5
SSC50232,Caiguna,Caiguna,6443,13710.2239,45,0,833,0,0,0,0,0,0,7,3,0,3,17,25,3,0,58,0
SSC50233,Calingiri,Calingiri,6569,197.0691,44,999,711,120,1375,0.7,1057,2.1,38,19,25,23,32,24,27,8,0,196,8.2
SSC50234,Calista,Calista,6167,2.2962,45,1476,470,260,1192,0.7,843,2.1,323,209,245,205,244,182,189,263,125,1985,13
SSC50235,Caljie,Caljie,6302,77.9277,58,1517,325,0,899,0.8,900,2,0,4,0,0,6,15,8,3,0,36,0
SSC50236,Callcup,Callcup,6260,147.2863,59,0,412,0,1124,0.6,900,2.8,3,0,0,4,0,3,3,0,0,13,0
SSC50237,Camballin,Camballin,6728,4209.6288,25,0,276,75,689,1.4,959,4,220,135,140,90,59,62,20,8,7,741,30.2
SSC50238,Cambridge Gulf,Cambridge Gulf,6743,5650.4937,15,0,875,0,0,0,0,3,23,16,8,0,0,3,0,0,0,50,0
SSC50239,Camillo,Camillo,6111,2.5813,35,1481,564,310,1354,0.8,1209,2.6,891,564,697,529,577,548,368,135,54,4363,12.8
SSC50240,Cancanning,Cancanning,6315,251.2166,34,0,899,0,1625,1.1,1625,3.8,15,0,3,5,3,10,3,0,0,39,0
SSC50241,Cane,Cane,6710,3460.3456,45,0,2500,0,0,0,0,0,0,0,7,0,4,0,0,0,0,11,0
SSC50242,Canna,Canna,6627,816.2016,30,0,487,0,1375,0.7,1416,2.9,18,8,6,10,9,4,6,0,0,61,17.1
SSC50243,Canning Mills,Canning Mills,6111,33.5161,38,0,725,0,1374,0.6,1624,2,11,0,0,7,5,0,0,0,0,23,0
SSC50244,Canning Vale,Canning Vale,6155,25.3471,34,2100,736,450,2133,0.8,2100,3.2,6891,5256,4575,5126,4849,3193,1809,671,210,32580,8.3
SSC50245,Cannington,Cannington,6107,4.0225,30,1727,564,360,1380,0.9,1287,2.6,884,978,1801,815,451,440,298,154,87,5908,12.9
SSC50246,Cape Arid,Cape Arid,6452,2802.8771,37,0,0,0,0,0,0,0,0,0,0,3,3,6,12,0,0,24,0
SSC50247,Cape Burney,Cape Burney,6532,18.8666,50,1906,595,280,1958,0.8,982,2.1,62,43,63,47,81,100,72,16,5,489,9.2
SSC50248,Cape Le Grand,Cape Le Grand,6450,340.1147,56,0,0,0,0,0,0,0,8,0,0,5,8,18,13,3,0,55,0
SSC50249,Cape Range National Park,Cape Range National Park,6707,501.8337,61,0,430,0,0,1.4,724,1.2,24,3,20,16,36,88,141,17,0,345,75
SSC50250,Capel,Capel,6271,66.3513,39,1593,612,300,1478,0.7,1269,2.6,555,249,273,304,340,278,257,108,27,2391,6.2
SSC50251,Capel River,Capel River,6271,95.134,46,2167,735,58,1875,0.7,1718,2.4,23,19,14,12,25,19,17,9,0,138,3.9
SSC50252,Capricorn,Capricorn,6642,16738.2744,31,0,875,0,0,1,1562,1,11,16,47,34,28,22,23,5,0,186,0
SSC50253,Caraban,Caraban,6041,44.1146,55,0,366,0,899,0.6,824,1.5,3,0,0,3,3,3,3,0,0,15,0
SSC50254,Carabooda,Carabooda,6033,19.0897,42,2084,690,100,2194,0.8,1875,3.2,74,69,31,64,81,61,37,14,3,434,5.2
SSC50255,Carani,Carani,6566,190.6096,41,0,612,0,1375,0.6,1312,3.5,7,0,0,5,3,3,0,0,0,18,0
SSC50256,Carbla,Carbla,6701,965.2387,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6,0
SSC50257,Carbunup River,Carbunup River,6280,27.9386,44,1700,684,200,1125,0.7,1062,2.8,23,7,18,19,24,18,10,6,4,129,4.5
SSC50258,Cardiff,Cardiff (WA),6225,171.1575,47,1525,450,200,1187,0.8,1083,2.6,18,13,10,6,18,20,16,7,0,108,14.3
SSC50259,Cardup,Cardup,6122,11.0723,37,2500,730,400,2351,0.8,2363,3.3,236,182,97,170,194,109,77,22,3,1090,7.9
SSC50260,Carey Park,Carey Park,6230,4.0726,39,1402,561,280,1286,0.7,986,2.2,866,623,736,590,644,649,458,276,171,5013,10.8
SSC50261,Carine,Carine,6020,4.6813,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2
SSC50262,Carlisle,Carlisle,6101,2.5423,34,1987,710,360,1747,0.8,1421,2.3,900,820,1462,948,675,604,472,257,162,6300,8.7
SSC50263,Carlotta,Carlotta,6275,364.2178,47,1600,532,165,900,0.6,900,2.1,24,3,10,5,14,20,15,3,0,94,0
SSC50264,Carmel,Carmel,6076,11.7315,42,1975,581,250,2083,0.8,1847,3.2,151,106,49,81,97,101,80,48,22,735,7
SSC50265,Carnamah,Carnamah,6517,1464.2113,45,737,794,100,1733,0.7,1275,2,71,37,46,50,49,95,36,19,3,406,4.3
SSC50266,Carnarvon,Carnarvon,6701,4.8156,45,1300,687,250,987,0.8,927,1.9,27,16,47,26,40,75,97,44,17,389,4.2
SSC50267,Carrabin,Carrabin,6423,157.0487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50268,Carramar,Carramar (WA),6031,7.0562,34,2167,812,440,2251,0.8,2197,3.2,1710,1075,828,1100,1142,639,351,135,25,7005,6.9
SSC50269,Carrolup,Carrolup,6317,167.2646,39,100,833,0,2050,0.6,1812,1.9,15,3,9,5,14,5,3,0,0,54,0
SSC50270,Cartmeticup,Cartmeticup,6316,215.3246,40,0,1087,0,1687,1,1687,3.1,17,6,3,6,9,8,0,0,0,49,0
SSC50271,Cascade,Cascade (WA),6450,1287.472,34,0,991,0,1833,0.7,1625,2.9,28,9,17,21,12,12,0,0,0,99,0
SSC50272,Castletown,Castletown,6450,3.4989,37,1885,707,290,1752,0.7,1435,2.5,851,464,530,468,508,447,412,166,50,3896,4.9
SSC50273,Casuarina,Casuarina (WA),6167,10.0184,34,2000,670,415,2120,0.8,2060,3.2,148,332,422,333,263,139,58,27,7,1729,8.1
SSC50274,Cataby,Cataby,6507,178.3979,37,0,1333,0,2750,1,2374,3,7,13,39,36,40,26,3,3,0,167,13.9
SSC50275,Catterick,Catterick,6255,125.0216,50,1896,496,200,1562,0.7,1147,2.4,30,12,14,18,33,36,20,12,0,175,2.8
SSC50276,Caversham,Caversham,6055,11.7564,31,2230,869,390,2133,0.8,2036,2.9,1185,613,1144,838,605,442,232,106,25,5190,6.4
SSC50277,Centennial Park,Centennial Park (WA),6330,1.9803,53,1300,540,250,1316,0.7,738,1.7,75,62,81,81,100,125,99,102,40,765,6.8
SSC50278,Cervantes,Cervantes,6511,9.8572,51,1733,576,260,1187,0.7,1071,2.1,69,32,67,54,66,95,109,57,6,555,5.4
SSC50279,Chadwick,Chadwick,6450,9.2939,48,1733,680,100,1812,0.7,1541,2.4,32,20,9,12,47,29,33,6,0,188,7.1
SSC50280,Champion Lakes,Champion Lakes,6111,5.5441,37,2012,730,350,1868,0.8,1642,2.7,214,131,167,162,157,158,82,41,0,1112,6.5
SSC50281,Chandler,Chandler (WA),6490,291.561,31,0,724,0,0,1,0,3,3,3,0,0,0,0,3,0,0,9,0
SSC50282,Changerup,Changerup,6394,203.1382,49,0,662,0,1291,0.6,1333,2.5,12,3,3,3,14,4,7,4,0,50,0
SSC50283,Channybearup,Channybearup,6260,114.5461,45,1650,661,200,1474,0.9,1406,2.6,27,18,23,15,25,29,24,4,5,170,6.8
SSC50284,Chapman Hill,Chapman Hill,6280,54.2435,44,925,700,300,1224,0.8,1125,3.2,28,7,5,14,19,14,21,3,3,114,7
SSC50285,Charley Creek,Charley Creek,6239,21.7323,49,0,762,150,2250,0.6,2125,2.5,10,3,7,7,9,13,12,4,0,65,0
SSC50286,Cherry Tree Pool,Cherry Tree Pool,6395,258.0695,38,0,828,0,1875,0.5,1875,2,11,3,3,10,6,8,5,3,0,49,0
SSC50287,Cheynes,Cheynes,6328,146.4478,51,0,512,0,1375,0,1375,2,3,0,0,0,3,0,6,0,0,12,0
SSC50288,Chichester,Chichester (WA),6751,6486.8185,52,0,774,0,0,0,0,0,0,10,5,9,11,7,3,0,0,45,0
SSC50289,Chidlow,Chidlow,6556,42.9639,42,1907,694,360,1870,0.8,1675,2.7,344,229,167,216,307,271,167,60,22,1783,6.5
SSC50290,Chittering,Chittering,6084,170.4396,43,2167,711,241,1922,0.8,1668,2.7,182,86,81,129,152,140,83,33,5,891,3.4
SSC50291,Chowerup,Chowerup,6244,346.8708,39,0,1031,0,1625,0.6,1375,2.5,6,0,4,9,3,6,9,3,0,40,0
SSC50292,Churchlands,Churchlands,6018,1.7592,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1
SSC50293,City Beach,City Beach,6015,9.7978,45,3033,1023,700,3675,0.7,2925,2.9,1316,992,299,600,1109,786,537,538,255,6432,5.4
SSC50294,Clackline,Clackline,6564,48.3235,51,1638,475,240,1071,0.7,1091,2.3,48,20,41,31,39,76,38,26,5,324,10.8
SSC50295,Claremont,Claremont (WA),6010,3.8719,44,2500,964,430,2821,0.8,1935,2.2,1198,1127,1018,804,1011,924,903,641,398,8024,6.1
SSC50296,Clarkson,Clarkson,6030,6.4983,31,1950,730,375,1762,0.8,1614,2.7,2780,2005,2493,1887,1631,1010,552,197,34,12589,10
SSC50297,Cleary,Cleary,6472,398.3738,31,0,1083,0,0,0,0,0,3,0,3,0,4,0,0,0,0,10,0
SSC50298,Cleaverville,Cleaverville,6714,8.3488,69,0,262,0,0,1.5,425,1.5,3,0,3,3,7,29,50,4,0,99,0
SSC50299,Clifton,Clifton (WA),6211,33.9415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50300,Cloverdale,Cloverdale,6105,3.9697,34,1933,653,360,1489,0.8,1332,2.5,1402,1053,1632,1067,886,742,539,427,182,7930,9.9
SSC50301,Coblinine,Coblinine,6317,214.5712,44,0,662,0,1375,0.8,1624,3.5,8,3,3,5,9,3,5,0,0,36,0
SSC50302,Coburn,Coburn,6532,1004.8282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC50303,Cockburn Central,Cockburn Central,6164,2.7647,30,1855,835,370,1625,0.9,1381,2,130,253,359,156,133,102,47,22,4,1206,9.6
SSC50304,Cocklebiddy,Cocklebiddy,6443,8765.1892,50,0,774,0,0,0,0,0,0,7,10,10,18,13,21,4,0,83,0
SSC50305,Codjatotine,Codjatotine,6308,170.0582,50,0,700,0,1166,0.6,1187,2.1,9,7,5,0,13,6,3,10,0,53,0
SSC50306,Cold Harbour,Cold Harbour,6302,40.7883,55,1300,604,0,1312,0.8,1281,2.4,13,3,7,7,9,31,11,4,0,85,0
SSC50307,Collanilling,Collanilling,6315,113.0895,36,0,866,0,1625,0.6,1625,2.5,7,3,4,7,5,3,3,0,0,32,0
SSC50308,College Grove,College Grove,6230,5.6415,37,1755,663,365,1773,0.7,1608,2.7,257,227,283,283,252,180,140,83,33,1738,8.8
SSC50309,Collie,Collie (WA),6225,52.7745,41,1465,503,225,1424,0.7,1111,2.4,1423,937,884,819,956,1064,802,370,136,7391,11.1
SSC50310,Collie Burn,Collie Burn,6225,14.3808,43,1500,700,0,1875,0.9,1687,2.9,12,3,8,12,6,12,3,0,0,56,0
SSC50311,Collingwood Heights,Collingwood Heights,6330,2.1714,39,1350,603,300,1411,0.7,1171,2.4,129,64,85,88,81,74,54,38,12,625,4.7
SSC50312,Collingwood Park,Collingwood Park (WA),6330,2.0274,44,1628,634,300,1375,0.7,1278,2.5,27,42,23,20,31,37,23,11,4,218,3.5
SSC50313,Collins,Collins,6260,130.5317,56,0,700,0,1166,0.8,1041,1.5,5,5,0,6,3,10,6,0,0,35,0
SSC50314,Commodine,Commodine,6311,81.9524,35,0,833,0,1374,0.4,2062,2.3,11,0,4,3,3,0,0,0,3,24,0
SSC50315,Como,Como (WA),6152,6.4142,36,2167,871,365,2225,0.8,1598,2.1,1768,2014,2807,1886,1580,1635,1132,678,457,13957,6.8
SSC50316,Condingup,Condingup,6450,1072.3982,38,0,635,0,1402,1,1228,2.6,78,23,29,41,41,38,43,12,0,305,2.6
SSC50317,Connolly,Connolly,6027,2.8264,44,2100,781,430,2457,0.7,2198,2.8,603,574,282,403,636,570,339,134,42,3583,6.4
SSC50318,Contine,Contine,6311,89.017,28,0,833,0,2125,1,2125,2,4,3,3,0,7,0,0,0,0,17,0
SSC50319,Coodanup,Coodanup,6210,4.7213,47,1500,460,250,1027,0.7,830,2.3,669,441,343,386,478,526,495,339,129,3806,16.3
SSC50320,Coogee,Coogee (WA),6166,5.3174,45,2383,700,450,2209,0.8,1894,2.7,741,595,400,508,741,662,530,281,63,4521,6.7
SSC50321,Cookernup,Cookernup,6220,82.8451,45,1733,477,215,1625,0.8,1312,2.5,92,54,41,63,95,79,64,20,5,513,10.3
SSC50322,Cooladar Hill,Cooladar Hill,6638,4983.8973,47,0,724,0,0,0,0,0,0,0,0,0,3,6,8,0,0,17,0
SSC50323,Coolbellup,Coolbellup,6163,3.1072,37,1798,622,319,1503,0.8,1187,2.2,875,568,924,796,660,512,501,292,86,5214,10.9
SSC50324,Coolbinia,Coolbinia,6050,0.8608,39,2557,1045,350,3587,0.8,2978,2.9,310,258,158,219,286,211,113,60,33,1648,5
SSC50325,Coolcalalaya,Coolcalalaya,6532,3001.7706,46,0,450,0,0,0,0,0,6,0,0,0,4,0,4,0,0,14,0
SSC50326,Coolgardie,Coolgardie (WA),6429,124.9813,42,916,568,190,1480,0.8,1116,2.2,165,88,88,105,139,148,94,28,5,860,10.1
SSC50327,Cooljarloo,Cooljarloo,6507,670.869,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
SSC50328,Cooloongup,Cooloongup,6168,11.8884,40,1517,506,308,1289,0.7,1137,2.5,1220,916,856,707,889,872,640,382,205,6687,13.4
SSC50329,Coolup,Coolup,6214,59.5996,40,1950,644,240,1687,0.7,1485,2.7,73,57,36,31,69,40,33,13,4,356,5.7
SSC50330,Coomalbidgup,Coomalbidgup,6450,1139.2514,34,0,1125,0,2071,0.7,1875,2.4,42,10,22,22,12,15,14,0,0,137,4.2
SSC50331,Coomberdale,Coomberdale,6512,275.3191,44,0,942,0,2083,0.7,1312,2.6,16,3,0,13,17,4,8,4,0,65,0
SSC50332,Coonabidgee,Coonabidgee,6503,44.8747,49,1517,492,0,1375,0.7,1062,2.5,24,22,11,9,22,29,12,8,3,140,0
SSC50333,Coondle,Coondle,6566,67.8442,52,1517,531,330,1403,0.7,1213,2.3,107,53,30,69,106,128,127,43,4,667,7.2
SSC50334,Coorow,Coorow,6515,258.7512,51,661,675,120,1468,0.6,1053,1.7,17,15,19,12,36,30,29,10,3,171,3.2
SSC50335,Cooya Pooya,Cooya Pooya,6714,1749.1153,31,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,0
SSC50336,Copley,Copley (WA),6562,98.5304,46,325,662,50,1624,1.2,1208,2.8,16,4,3,9,10,11,3,3,0,59,0
SSC50337,Coral Bay,Coral Bay,6701,1.935,31,0,766,150,1625,1,1187,1.2,99,52,146,105,103,190,232,65,8,1000,1.9
SSC50338,Corinthia,Corinthia,6426,414.9595,56,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0
SSC50339,Corrigin,Corrigin,6375,393.6766,45,1000,688,150,1490,0.7,1169,2.2,160,66,78,93,84,115,97,60,29,782,5.2
SSC50340,Cosmo Newbery,Cosmo Newbery,6440,12245.8036,29,0,350,40,849,0.6,824,2,12,11,14,5,11,11,7,0,0,71,13.6
SSC50341,Cossack,Cossack (WA),6720,21.1376,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0
SSC50342,Cottesloe,Cottesloe,6011,3.7511,42,3250,1231,550,3662,0.8,2680,2.5,1324,834,878,809,1062,976,719,331,207,7140,4.7
SSC50343,Courtenay,Courtenay,6288,65.2874,39,1600,680,185,1437,0.9,1312,2.5,15,6,3,5,8,10,4,0,0,51,12
SSC50344,Cowalellup,Cowalellup,6336,331.4382,46,0,769,0,1666,0.6,1583,1.7,3,3,0,0,7,0,3,0,0,16,0
SSC50345,Cowalla,Cowalla,6503,110.0147,47,2036,725,0,2250,1.1,1958,2.4,0,7,8,5,8,5,9,0,0,42,0
SSC50346,Cowaramup,Cowaramup,6284,95.2917,37,2000,747,323,1793,0.8,1559,2.8,508,115,197,368,219,197,119,52,9,1784,4.5
SSC50347,Cowcowing,Cowcowing,6485,235.3152,39,0,900,0,1749,0.5,1374,2,5,0,3,3,5,3,3,0,0,22,0
SSC50348,Coyrecup,Coyrecup,6317,220.1155,37,0,924,0,2124,0.7,1625,2.5,8,3,4,13,7,0,4,0,0,39,0
SSC50349,Craigie,Craigie (WA),6025,4.6769,34,1800,753,380,1824,0.7,1539,2.4,1107,618,1146,855,672,592,466,187,74,5717,7.5
SSC50350,Cramphorne,Cramphorne,6420,716.6396,42,0,833,0,1937,0.6,1437,1.9,8,3,7,9,12,8,4,3,0,54,0
SSC50351,Cranbrook,Cranbrook (WA),6321,1207.8298,46,737,559,137,1149,0.8,949,2.5,98,23,51,53,69,74,51,39,11,469,3
SSC50352,Crawley,Crawley,6009,1.4196,24,2300,279,360,1649,1.1,1145,2.1,265,2081,839,301,144,169,208,147,50,4204,22.3
SSC50353,Crooked Brook,Crooked Brook,6236,105.7108,48,2600,691,253,1974,0.8,1937,2.9,33,29,12,18,37,38,20,4,5,196,5.7
SSC50354,Crossman,Crossman,6390,136.99,46,1650,588,310,1768,0.8,1562,2.6,47,18,22,18,41,23,29,10,0,208,8.4
SSC50355,Crowea,Crowea,6258,269.4252,54,1300,512,0,1874,0.8,1187,2,16,9,3,10,28,23,25,3,0,117,13.3
SSC50356,Cuballing,Cuballing,6311,181.5097,46,1300,617,240,1468,0.7,1116,2.3,80,25,42,45,70,62,69,22,3,418,3.3
SSC50357,Cubbine,Cubbine,6383,168.6249,47,0,2214,0,4333,0.6,3750,2.5,5,0,3,5,5,3,3,0,0,24,0
SSC50358,Cue,Cue,6640,94.09,53,775,533,100,949,0.6,850,1.9,25,12,45,26,57,73,53,13,3,307,4.6
SSC50359,Culham,Culham,6566,91.5433,34,1759,474,0,2250,1.2,2250,2.8,7,5,6,4,6,3,0,0,0,31,16.7
SSC50360,Cullacabardee,Cullacabardee,6067,15.6755,28,0,417,0,0,0,0,0,23,0,20,11,4,3,0,0,0,61,0
SSC50361,Cullalla,Cullalla,6503,119.0831,59,0,487,0,774,0.8,725,1.8,0,0,0,3,6,4,7,4,0,24,0
SSC50362,Cundeelee,Cundeelee,6434,13261.0477,40,0,2250,0,0,0,1874,1,0,8,48,22,33,21,7,0,0,139,0
SSC50363,Cunderdin,Cunderdin,6407,331.7899,41,1000,792,200,1710,0.8,1258,2.5,176,84,115,115,110,120,89,63,21,893,5
SSC50364,Cundinup,Cundinup,6275,156.7271,45,2410,593,0,1625,0.5,1541,2.3,4,7,0,11,12,8,3,0,0,45,0
SSC50365,Cunjardine,Cunjardine,6401,150.6597,31,250,1042,0,2749,0.6,2749,2,5,3,3,3,10,3,0,0,0,27,0
SSC50366,Currambine,Currambine,6028,3.1476,36,2000,753,410,2238,0.8,2016,2.9,1344,1212,761,878,1173,777,397,182,45,6769,7.1
SSC50367,Cuthbert,Cuthbert,6330,6.5913,45,1286,568,293,1468,0.9,1399,2.5,31,22,9,13,29,26,22,4,0,156,3.8
SSC50368,Daadenning Creek,Daadenning Creek,6410,287.9239,48,1000,383,0,1374,0.6,1562,2.5,3,0,6,3,4,0,3,7,0,26,0
