SSC_CODE_2016,Suburb,Suburb (Original),Postcode,Suburb sqkm,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%)
SSC50042,Baandee,Baandee,6412,146.0789,40,0,900,0,1625,1,1625,2,3,3,3,0,3,0,0,0,0,12,0
SSC50043,Babakin,Babakin,6428,380.8239,36,493,634,0,1375,0.8,1312,3.3,16,5,3,9,4,4,0,0,0,41,0
SSC50044,Babbage Island,Babbage Island,6701,3.9477,54,0,850,0,2249,0.5,1399,2,0,0,0,3,5,8,6,3,0,25,0
SSC50045,Badgebup,Badgebup,6317,207.5856,39,0,537,0,1625,0.8,1499,3.2,6,7,5,10,9,3,0,0,0,40,0
SSC50046,Badgerin Rock,Badgerin Rock,6475,243.0212,34,0,784,0,1812,0.6,1812,2,7,0,10,3,0,4,0,0,3,27,0
SSC50047,Badgin,Badgin,6302,84.8441,34,0,900,0,0,0,0,0,3,6,3,0,5,0,0,3,0,20,0
SSC50048,Badgingarra,Badgingarra,6521,1128.8324,46,972,946,0,2071,0.7,1687,2.4,33,15,38,21,33,32,22,6,0,200,2.8
SSC50049,Badjaling,Badjaling,6383,84.1749,57,0,1312,0,2249,0.5,1374,1.5,0,0,3,0,3,6,0,0,0,12,0
SSC50050,Bailup,Bailup,6082,47.0325,48,0,589,0,2249,0.6,2249,2.4,0,7,3,3,7,10,9,5,0,44,0
SSC50051,Bakers Hill,Bakers Hill,6562,82.7792,45,1780,613,285,1510,0.7,1371,2.4,212,93,113,128,169,178,167,48,10,1118,7.1
SSC50052,Balbarrup,Balbarrup,6258,55.6274,44,1956,655,0,1562,0.9,1458,2.7,36,26,16,14,32,21,19,7,0,171,0
SSC50053,Balcatta,Balcatta,6021,7.0539,38,1887,668,350,1688,0.7,1313,2.3,1566,1078,1945,1372,1193,961,935,787,351,10188,7.2
