Postcode,Suburb,Suburb sqkm,Median House Price,Median Age (Persons),Median Mortgage Repayments (Monthly),Median Total Personal Income (Weekly),Median Rent (Weekly),Median Total Family Income (Weekly),Average Number of Persons per Bedroom,Median Total Household Income (Weekly),Average Household Size,People (0-14 year),People (15-24 year),People (25-34 year),People (35-44 year),People (45-54 year),People (55-64 year),People (65-74 year),People (75-84 year),People (85 and over year),Total Number of People,Unemployment Rate (%),Number of restaurants,Minimum Rating,Maximum Rating,Average Rating of restaurants,Total Number of Reviews,Average Number of Reviews,Minimum Price Level,Maximum Price Level,Average Price Level,Restaurant Density
6156,Attadale,3.102,1192735,41,2500,920,420,2741,0.8,2181,2.7,1216,909,544,753,973,719,528,379,176,6197,5.8,60.0,3.3,5.0,4.288333333333335,14612.0,243.53333333333333,1.0,3.0,1.4333333333333333,19.342359767891683
6164,Atwell,3.5414,542582,33,2100,829,430,2304,0.8,2201,3.2,2357,1274,1115,1702,1330,621,362,139,26,8926,6.7,30.0,2.6,4.9,4.1899999999999995,8034.0,267.8,1.0,2.0,1.0333333333333334,8.471226068786356
6164,Aubin Grove,2.4726,570787,31,2232,937,440,2281,0.8,2213,3.2,1889,635,1189,1249,578,324,163,90,68,6185,6.1,19.0,2.6,4.9,4.163157894736843,3418.0,179.89473684210526,1.0,2.0,1.2105263157894737,7.684219040685918
6069,Aveley,6.1016,440986,30,2167,907,410,2104,0.8,1992,2.9,2747,1300,2011,1725,1101,577,328,144,18,9951,7.2,7.0,3.9,4.5,4.185714285714285,1507.0,215.28571428571428,2.0,2.0,2.0,1.1472400681788382
6021,Balcatta,7.0539,524628,38,1887,668,350,1688,0.7,1313,2.3,1566,1078,1945,1372,1193,961,935,787,351,10188,7.2,60.0,3.0,5.0,4.266666666666666,12763.0,212.71666666666667,1.0,2.0,0.9166666666666666,8.505932888189513
6171,Baldivis,87.3148,419363,29,2167,842,385,2068,0.8,1928,2.9,8535,4074,5863,4470,3353,2081,1426,556,114,30472,7.9,59.0,3.2,5.0,4.213559322033898,17931.0,303.91525423728814,1.0,3.0,1.271186440677966,0.6757159152858393
6061,Balga,5.2448,309362,31,1714,561,340,1264,0.8,1147,2.5,2409,1718,2969,1660,1275,1039,817,458,92,12437,12.0,60.0,3.1,5.0,4.335,10226.0,170.43333333333334,1.0,2.0,0.8333333333333334,11.439902379499696
6066,Ballajura,8.8563,420807,35,1780,626,375,1701,0.8,1588,3.0,3726,3017,2373,2220,2993,2320,1091,516,154,18410,9.0,27.0,3.4,5.0,4.292592592592592,4452.0,164.88888888888889,1.0,2.0,0.6296296296296297,3.048677212831544
6164,Banjup,22.4676,1103590,34,2340,867,440,2243,0.7,2250,3.0,375,302,361,263,272,235,141,42,15,2006,6.0,60.0,3.3,4.8,4.191666666666666,19961.0,332.68333333333334,1.0,2.0,1.2666666666666666,2.670512204240773
6031,Banksia Grove,4.7182,382368,28,2058,803,370,1822,0.8,1713,3.0,2537,1320,2262,1426,903,486,176,59,12,9181,8.9,16.0,3.0,4.6,4.0249999999999995,2051.0,128.1875,1.0,2.0,0.625,3.3911237336272304
6056,Baskerville,6.651,904050,49,2200,875,455,2416,0.7,2136,2.8,40,48,15,17,59,49,37,13,3,281,8.2,5.0,3.9,4.5,4.3,1936.0,387.2,2.0,2.0,1.2,0.7517666516313336
6054,Bassendean,7.2717,546484,39,1956,782,350,2045,0.8,1587,2.4,1856,1108,1475,1520,1440,1164,864,485,235,10147,7.5,51.0,0.0,5.0,4.1039215686274515,12437.0,243.86274509803923,1.0,2.0,0.9803921568627451,7.013490655555097
6150,Bateman,1.9561,801317,40,2167,697,450,2293,0.8,2071,2.9,652,558,413,463,512,446,357,178,97,3676,8.1,3.0,4.0,4.3,4.166666666666667,963.0,321.0,1.0,1.0,0.6666666666666666,1.5336639231123153
6053,Bayswater,9.8453,607955,38,2100,825,350,2208,0.8,1705,2.4,2467,1461,2298,2252,1963,1623,1039,671,458,14232,7.0,31.0,0.0,4.8,4.138709677419355,10094.0,325.61290322580646,1.0,3.0,1.064516129032258,3.148710552243202
6162,Beaconsfield,2.7342,774404,41,2167,689,320,1991,0.8,1483,2.4,857,493,644,663,705,597,454,332,110,4855,8.1,23.0,3.7,5.0,4.330434782608696,4637.0,201.6086956521739,1.0,3.0,1.3043478260869565,8.41196693731256
6107,Beckenham,5.8449,405863,33,1800,601,350,1451,0.8,1339,2.7,1388,986,1530,1077,784,697,567,268,86,7383,10.2,37.0,0.0,5.0,3.843243243243243,9585.0,259.05405405405406,1.0,2.0,0.8918918918918919,6.330305052267789
6052,Bedford,2.2804,660490,37,2167,786,375,2097,0.8,1779,2.6,1020,629,808,848,741,573,376,248,93,5336,6.2,25.0,3.5,5.0,4.376,4790.0,191.6,1.0,2.0,1.0,10.962988949307139
6112,Bedfordale,54.2646,748650,39,2500,803,350,2293,0.8,2256,3.1,605,364,250,412,440,367,225,88,17,2768,6.0,60.0,2.6,4.9,4.131666666666666,12080.0,201.33333333333334,1.0,2.0,0.9,1.1056932143607434
6063,Beechboro,4.736000000000001,385165,37,1668,572,350,1501,0.8,1335,2.8,1765,1202,1256,1177,1244,1215,676,265,96,8896,10.0,60.0,0.0,4.8,4.045000000000001,16154.0,269.23333333333335,1.0,2.0,0.8,12.668918918918918
6164,Beeliar,11.4181,536281,33,2167,859,400,2192,0.8,2045,2.9,1769,917,1259,1255,1017,613,313,123,26,7292,7.2,60.0,0.0,4.9,4.068333333333334,17415.0,290.25,1.0,2.0,1.1333333333333333,5.254814723990856
6027,Beldon,2.1936,490011,34,2000,770,375,1950,0.7,1669,2.6,795,470,687,566,482,490,220,105,39,3854,7.9,34.0,3.2,4.9,4.220588235294119,6427.0,189.02941176470588,1.0,2.0,1.0588235294117647,15.49963530269876
6069,Belhus,4.0356,774750,50,2000,643,725,1875,0.7,1949,2.9,49,29,10,28,42,51,28,16,5,258,5.5,60.0,3.0,5.0,4.138333333333334,15401.0,256.68333333333334,1.0,3.0,1.35,14.867677668748144
6056,Bellevue,3.0572,368800,39,1538,621,315,1428,0.7,1195,2.3,262,183,201,195,215,229,122,49,21,1477,13.1,39.0,2.8,5.0,4.207692307692308,11375.0,291.6666666666667,1.0,3.0,1.2307692307692308,12.756770901478477
6104,Belmont,4.3735,505117,34,1950,731,350,1801,0.8,1456,2.4,994,909,1492,1018,779,700,473,281,152,6798,8.4,60.0,0.0,4.7,3.9549999999999983,16235.0,270.5833333333333,1.0,3.0,1.2333333333333334,13.71898936778324
6063,Bennett Springs,4.4286,495592,31,2011,647,420,1754,0.9,1843,3.5,1326,807,815,882,709,422,210,57,13,5241,9.0,37.0,0.0,5.0,3.9405405405405407,6402.0,173.02702702702703,1.0,3.0,0.9459459459459459,8.354784807839948
6102,Bentley,5.3772,457649,31,1733,428,300,1224,0.8,863,2.3,727,2324,1933,849,578,505,543,634,691,8784,17.4,19.0,0.0,4.7,3.810526315789473,4514.0,237.57894736842104,1.0,2.0,0.9473684210526315,3.5334374767537007
6167,Bertram,3.03,381613,29,1940,791,370,1834,0.8,1761,3.1,1875,722,1288,1165,541,307,147,40,6,6091,10.7,7.0,3.2,5.0,4.157142857142857,531.0,75.85714285714286,1.0,1.0,0.2857142857142857,2.31023102310231
6163,Bibra Lake,12.7547,544326,42,1842,731,400,2034,0.7,1672,2.6,980,764,646,745,851,787,485,342,143,5743,7.3,37.0,0.0,4.9,4.194594594594594,6807.0,183.97297297297297,1.0,2.0,0.8108108108108109,2.9008914360980658
6076,Bickley,9.8549,699231,47,2435,616,431,2327,0.7,1985,2.7,101,102,32,63,130,103,88,32,11,662,5.5,32.0,3.7,5.0,4.4125000000000005,8181.0,255.65625,1.0,2.0,1.21875,3.2471156480532524
6157,Bicton,3.1224,1083594,44,2300,856,385,2394,0.7,1726,2.3,1108,763,672,793,951,802,626,421,300,6436,7.3,31.0,3.3,5.0,4.2290322580645165,4790.0,154.51612903225808,1.0,2.0,1.0,9.928260312580067
6154,Booragoon,3.0602,893440,42,2383,719,415,2301,0.7,1707,2.6,982,720,492,704,760,600,491,381,283,5413,7.5,60.0,0.0,4.8,3.9016666666666664,12914.0,215.23333333333332,1.0,2.0,1.2666666666666666,19.60656166263643
6056,Boya,1.8568,521286,43,2069,824,390,2181,0.7,1919,2.6,111,70,62,97,89,78,83,35,12,637,4.0,22.0,3.4,4.6,4.090909090909091,11411.0,518.6818181818181,1.0,3.0,1.5909090909090908,11.848341232227488
6055,Brabham,5.8441,432821,28,2200,947,400,2023,0.7,1957,2.8,753,449,1080,493,287,129,43,10,0,3244,6.2,60.0,3.5,4.9,4.191666666666668,18690.0,311.5,1.0,3.0,1.4666666666666666,10.266764771307814
6153,Brentwood,0.8898,742031,37,2110,667,340,1944,0.8,1415,2.5,388,287,268,286,289,201,153,101,56,2029,8.6,2.0,4.6,4.6,4.6,471.0,235.5,2.0,2.0,1.0,2.2476961114857272
6069,Brigadoon,19.4732,705097,43,2414,804,355,2387,0.8,2349,3.1,160,117,47,114,142,118,84,19,11,812,4.3,31.0,3.5,4.7,4.25483870967742,11539.0,372.2258064516129,1.0,2.0,1.2903225806451613,1.5919314750528932
6112,Brookdale,1.2002,301784,28,1517,594,320,1337,0.8,1281,3.0,857,425,530,403,341,215,126,34,5,2936,12.7,39.0,0.0,4.9,4.089743589743589,16212.0,415.6923076923077,1.0,3.0,0.9743589743589743,32.49458423596067
6149,Bull Creek,4.1624,810098,44,2000,648,425,2062,0.8,1626,2.7,1331,973,762,904,932,941,907,519,360,7629,8.2,22.0,2.0,5.0,4.090909090909091,4570.0,207.72727272727272,1.0,2.0,0.9090909090909091,5.2854122621564485
6084,Bullsbrook,253.8629,498797,38,2000,730,350,1827,0.8,1714,2.9,1057,745,562,723,808,636,414,138,30,5113,6.5,15.0,0.0,5.0,4.013333333333334,2414.0,160.93333333333334,1.0,2.0,0.8666666666666667,0.05908701113868943
6028,Burns Beach,3.3134,898548,37,2817,994,630,3034,0.8,3008,3.3,789,464,300,584,637,354,117,23,3,3271,6.2,7.0,3.9,4.7,4.314285714285715,5388.0,769.7142857142857,2.0,2.0,1.1428571428571428,2.112633548620752
6100,Burswood,3.4126,975229,36,2212,976,475,2272,0.8,1978,2.1,178,336,666,457,439,405,198,85,13,2777,7.6,59.0,0.0,5.0,3.959322033898305,23425.0,397.03389830508473,1.0,4.0,1.5084745762711864,17.28887065580496
6036,Butler,5.3277,383239,29,2017,728,360,1781,0.8,1616,2.9,3616,2007,2195,2099,1602,715,543,194,38,13009,9.5,28.0,2.8,4.7,4.025,7490.0,267.5,1.0,2.0,1.1071428571428572,5.255551175929575
6122,Byford,19.5816,423198,29,2091,834,395,1931,0.8,1846,3.0,4103,1902,3192,2055,1423,995,553,241,84,14548,7.1,32.0,0.0,5.0,3.8968749999999996,6023.0,188.21875,1.0,2.0,0.8125,1.634187196143318
6167,Calista,2.2962,293624,45,1476,470,260,1192,0.7,843,2.1,323,209,245,205,244,182,189,263,125,1985,13.0,40.0,3.0,4.9,4.1225000000000005,19386.0,484.65,1.0,3.0,1.425,17.42008535841826
6111,Camillo,2.5813,300935,35,1481,564,310,1354,0.8,1209,2.6,891,564,697,529,577,548,368,135,54,4363,12.8,18.0,0.0,5.0,3.8499999999999996,4545.0,252.5,1.0,2.0,1.0,6.973230542749777
6155,Canning Vale,25.3471,589988,34,2100,736,450,2133,0.8,2100,3.2,6891,5256,4575,5126,4849,3193,1809,671,210,32580,8.3,60.0,0.0,5.0,4.053333333333334,15367.0,256.1166666666667,1.0,2.0,0.9833333333333333,2.367134701800206
6107,Cannington,4.0225,430695,30,1727,564,360,1380,0.9,1287,2.6,884,978,1801,815,451,440,298,154,87,5908,12.9,60.0,3.3,5.0,4.050000000000002,18829.0,313.81666666666666,1.0,2.0,0.9333333333333333,14.916096954630206
6033,Carabooda,19.0897,917024,42,2084,690,100,2194,0.8,1875,3.2,74,69,31,64,81,61,37,14,3,434,5.2,1.0,4.3,4.3,4.3,290.0,290.0,2.0,2.0,2.0,0.052384270051388966
6122,Cardup,11.0723,679797,37,2500,730,400,2351,0.8,2363,3.3,236,182,97,170,194,109,77,22,3,1090,7.9,38.0,3.5,4.9,4.165789473684211,21947.0,577.5526315789474,1.0,3.0,1.2894736842105263,3.431987933852948
6020,Carine,4.6813,805572,42,2167,872,450,2456,0.7,2242,2.9,1373,714,501,884,886,924,742,221,85,6330,5.2,6.0,3.6,4.6,4.0,1616.0,269.3333333333333,1.0,2.0,0.8333333333333334,1.2816952555913954
6101,Carlisle,2.5423,543074,34,1987,710,360,1747,0.8,1421,2.3,900,820,1462,948,675,604,472,257,162,6300,8.7,47.0,3.0,5.0,4.174468085106383,19046.0,405.2340425531915,1.0,3.0,1.2127659574468086,18.487196632970146
6076,Carmel,11.7315,615029,42,1975,581,250,2083,0.8,1847,3.2,151,106,49,81,97,101,80,48,22,735,7.0,,,,,,,,,,
6031,Carramar,7.0562,524225,34,2167,812,440,2251,0.8,2197,3.2,1710,1075,828,1100,1142,639,351,135,25,7005,6.9,41.0,3.3,4.9,4.236585365853657,10438.0,254.58536585365854,1.0,2.0,1.146341463414634,5.810492899861115
6167,Casuarina,10.0184,615176,34,2000,670,415,2120,0.8,2060,3.2,148,332,422,333,263,139,58,27,7,1729,8.1,44.0,2.4,4.6,3.870454545454545,11366.0,258.3181818181818,1.0,2.0,1.5227272727272727,4.3919188692805236
6055,Caversham,11.7564,486736,31,2230,869,390,2133,0.8,2036,2.9,1185,613,1144,838,605,442,232,106,25,5190,6.4,51.0,3.4,5.0,4.321568627450981,23496.0,460.70588235294116,1.0,3.0,1.4509803921568627,4.338062672246607
6111,Champion Lakes,5.5441,424489,37,2012,730,350,1868,0.8,1642,2.7,214,131,167,162,157,158,82,41,0,1112,6.5,8.0,3.8,4.6,4.2875,1560.0,195.0,1.0,2.0,1.0,1.4429754153063616
6556,Chidlow,42.9639,506955,42,1907,694,360,1870,0.8,1675,2.7,344,229,167,216,307,271,167,60,22,1783,6.5,3.0,4.4,4.7,4.5,669.0,223.0,2.0,2.0,0.6666666666666666,0.06982606327637854
6018,Churchlands,1.7592,1313735,38,2800,891,380,2574,0.8,2193,2.8,723,419,401,502,452,406,262,134,35,3334,6.1,9.0,4.1,4.6,4.311111111111111,2135.0,237.22222222222223,1.0,2.0,1.0,5.115961800818553
6015,City Beach,9.7978,1654765,45,3033,1023,700,3675,0.7,2925,2.9,1316,992,299,600,1109,786,537,538,255,6432,5.4,20.0,3.3,4.7,4.130000000000001,8594.0,429.7,1.0,3.0,1.25,2.0412745718426586
